full_name,email_address,address,country,credit_card_number,is_chargemap_pro_user,invoices_count,paid_invoices_count,current_debt_amount,feedback_count,payment_mean,payment_time_avg,is_fraud
Randall Brown,haney914@fraudmail.com,"93928 Linda Field Suite 640
Mendezfurt, KS 61155",Brunei Darussalam,4145490955594941,True,2,5,1881.13,1,Card,59.9705550021996,1
Henry Murphy,conley484@fraudmail.com,"8745 Durham Glens Apt. 303
Pughport, MI 38144",Guadeloupe,676155111104,True,2,3,3182.21,1,Paypal,28.731790071050654,1
James Barnes,vasquez895@fraudmail.com,"5064 Baker Unions
Lake Amanda, MI 76865",Puerto Rico,6594982778406114,True,1,4,4345.28,0,Paypal,39.1048307504196,1
Vincent Drake,alexander648@fraudmail.com,"8745 Durham Glens Apt. 303
Pughport, MI 38144",Korea,4724842911516061760,True,18,0,1319.05,0,Card,22.671625803239394,1
Maxwell Bauer,monroe672@fraudmail.com,"42059 Garcia Flat
West Michael, CA 30434",Guinea,343797412541820,True,11,3,4420.66,0,Card,25.707017620788704,1
Charles Gonzalez DDS,lopez741@fraudmail.com,"5818 Garcia Stream
Codybury, FM 52949",El Salvador,4435877470082,True,4,5,2821.88,1,Card,27.70072421408873,1
David Lucas,weeks410@fraudmail.com,"90732 Webb Fort
Debrastad, ME 89629",Philippines,30446053569348,True,15,3,2860.17,0,Paypal,45.580176125310246,1
Martin Hobbs,hill382@fraudmail.com,"PSC 7595, Box 6795
APO AP 57814",Italy,586912191606,True,20,2,2093.42,0,Paypal,21.321828140527465,1
Matthew Moore,clements964@fraudmail.com,"78482 Clark Parkways Suite 187
West Whitney, MD 68064",Thailand,3576715094027456,True,13,1,2264.58,0,Crypto,27.317638516606756,1
Elizabeth Barnes,smith279@fraudmail.com,"5064 Baker Unions
Lake Amanda, MI 76865",Somalia,4607656172891077,True,17,4,3291.19,1,Crypto,46.48342962726032,1
Jessica Valencia,austin349@fraudmail.com,"93928 Linda Field Suite 640
Mendezfurt, KS 61155",Finland,4724842911516061760,True,9,3,2399.4,1,Card,48.236914631525806,1
